"","Gene_ID_IMG","Start.Coord","End.Coord","Strand","GC","Nuc","AA","Description","Gi","GeneID","Locus"
"Tery_1993","638107110","3108044","3108772","+","0.39","729","243","SNARE associated Golgi protein","113475656","4243420","-"
"Tery_1994","639331536","3108983","3109237","+","0.38","255","85","-","-","-","-"
"Tery_1995","638107111","3109509","3110204","+","0.31","696","232","HAD-superfamily hydrolase, subfamily IA, variant 3","113475657","4243422","-"
"Tery_1996","639331537","3110872","3111066","-","0.39","195","65","-","-","-","-"
"Tery_1997","638107112","3111592","3111828","+","0.35","237","79","conserved hypothetical protein","113475658","4243424","-"
"Tery_1998","638107113","3112190","3113221","+","0.39","1032","344","extracellular solute-binding protein, family 3","113475659","4243425","-"
"Tery_1999","638107114","3114067","3115233","+","0.33","1167","389","polar amino acid ABC transporter, inner membrane subunit","113475660","4243426","-"
"Tery_2000","638107115","3116621","3117832","+","0.33","1212","404","polar amino acid ABC transporter, inner membrane subunit","113475661","4243427","-"
"Tery_2001","638107116","3118053","3118829","+","0.42","777","259","ABC transporter related( EC:3.6.3.- )","113475662","4243428","-"
"Tery_2002","638107117","3118977","3119423","+","0.37","447","149","regulatory protein, MerR","113475663","4243429","-"
"Tery_2003","638107118","3119527","3120756","+","0.37","1230","410","transposase, IS605 OrfB family","113475664","4243430","-"
"Tery_2004","638107119","3121122","3121727","+","0.4","606","202","DNA-3-methyladenine glycosylase( EC:3.2.2.21 )","113475665","4243431","-"
"Tery_2005","639331538","3122947","3123099","+","0.29","153","51","-","-","-","-"
"Tery_2006","638107120","3124502","3126070","-","0.36","1569","523","protein of unknown function DUF323","113475666","4243433","-"
"Tery_2007","638107121","3127156","3128292","+","0.34","1137","379","Dihydroorotate oxidase( EC:1.3.3.1 )","113475667","4243434","-"
"Tery_2008","638107122","3128345","3128986","+","0.33","642","214","protein of unknown function DUF218","113475668","4243435","-"
"Tery_2009","638107123","3130221","3131225","-","0.38","1005","335","transcriptional regulator, LysR family","113475669","4243436","-"
"Tery_2010","638107124","3131900","3132613","+","0.41","714","238","NnrU","113475670","4243437","-"
"Tery_2011","638107125","3132658","3133047","+","0.37","390","130","Thioredoxin domain","113475671","4243438","-"
"Tery_2012","638107126","3134655","3135641","-","0.33","987","329","peptidase C14, caspase catalytic subunit P20","113475672","4243439","-"
"Tery_R0014","640717042","3137164","3138645","+","0.54","1482","-","16S ribosomal RNA ","-","4243440","-"
"Tery_R0016","640717044","3138864","3138936","+","0.58","73","-","tRNA-Ala-TGC ","-","4243615","-"
"Tery_R0017","640717045","3139115","3141995","+","0.51","2881","-","23S ribosomal RNA ","-","4243616","-"
"Tery_R0017a","-","3142045","3142164","-","-","-","-","-","-","-","-"
"Tery_2013","638107131","3142381","3142728","+","0.39","348","116","hypothetical protein","113475673","4243617","-"
"Tery_2014","638107132","3142781","3143446","+","0.41","666","222","hypothetical protein","113475674","4243618","-"
"Tery_2015","638107133","3143842","3144279","-","0.41","438","146","transposase","113475675","4243619","-"
"Tery_2017","638107135","3145925","3146173","-","0.31","249","83","hypothetical protein","113475677","4243621","-"
"Tery_2018","638107136","3146743","3147933","-","0.38","1191","397","FAD dependent oxidoreductase","113475678","4243622","-"
"Tery_2019","638107137","3148004","3148585","+","0.32","582","194","hypothetical protein","113475679","4243623","-"
"Tery_2020","639331539","3148666","3148884","-","0.26","219","73","-","-","-","-"
"Tery_2021","638107138","3149201","3149602","-","0.32","402","134","Resolvase, RNase H-like fold","113475680","4243625","-"
"Tery_2022","638107139","3149682","3150275","-","0.31","594","198","conserved hypothetical protein","113475681","4243626","-"
"Tery_2023","638107140","3150496","3151161","-","0.4","666","222","transcriptional regulator, Crp/Fnr family","113475682","4243627","-"
"Tery_2024","638107141","3151814","3152590","+","0.39","777","259","short-chain dehydrogenase/reductase SDR( EC:1.3.1.9 )","113475683","4243628","-"
"Tery_2025","638107142","3152928","3153203","-","0.4","276","92","putative intron group II, inRNA","113475684","4243629","-"
"Tery_2026","638107143","3153509","3154303","+","0.4","795","265","RNA-directed DNA polymerase","113475685","4243630","-"
"Tery_2027","639331540","3154368","3155334","+","0.38","967","322.3333333","-","-","-","-"
"Tery_2028","638107144","3155435","3156076","+","0.42","642","214","Imidazoleglycerol-phosphate dehydratase( EC:4.2.1.19 )","113475686","4243632","hisB"
"Tery_2031","639331542","3158210","3158500","-","0.45","291","97","-","-","-","-"
"Tery_2032","638107146","3159119","3160816","+","0.31","1698","566","protein of unknown function DUF1400","113475688","4243636","-"
"Tery_2033","638107147","3162986","3165187","+","0.32","2202","734","serine/threonine protein kinase with WD40 repeats( EC:2.7.11.17 )","113475689","4243637","-"
"Tery_2034","638107148","3165641","3169732","-","0.46","4092","1364","RTX toxins and related Ca2+-binding protein","113475690","4243638","-"
"Tery_2035","638107149","3170702","3170875","+","0.25","174","58","hypothetical protein","113475691","4243639","-"
"Tery_2036","639331543","3171063","3171302","+","0.28","240","80","-","-","-","-"
"Tery_2037","638107150","3171686","3175804","-","0.4","4119","1373","peptidase S8 and S53, subtilisin, kexin, sedolisin","113475692","4243641","-"
"Tery_2038","638107151","3176638","3178710","-","0.43","2073","691","FG-GAP","113475693","4243642","-"
"Tery_2039","638107152","3179580","3180479","-","0.36","900","300","alpha-L-glutamate ligases, RimK family","113475694","4243643","-"
"Tery_2040","638107153","3180845","3181291","-","0.3","447","149","protein of unknown function DUF785","113475695","4243644","-"
"Tery_2041","638107154","3181525","3182670","-","0.4","1146","382","glycine cleavage system T protein( EC:2.1.2.10 )","113475696","4243645","gcvT"
"Tery_2042","639331544","3183041","3183463","+","0.35","423","141","-","-","-","-"
"Tery_2043","638107155","3184954","3185778","+","0.39","825","275","Squalene/phytoene synthase( EC:2.5.1.21 )","113475697","4243647","-"
"Tery_2044","639331545","3185904","3187020","-","0.31","1117","372.3333333","-","-","-","-"
"Tery_2045","638107156","3187425","3189575","+","0.39","2151","717","putative signal transduction protein with EFhand domain","113475698","4243649","-"
"Tery_2046","638107157","3191151","3191852","+","0.36","702","234","nuclease (SNase-like)( EC:3.1.31.1 )","113475699","4243650","-"
"Tery_2047","638107158","3192988","3194634","+","0.4","1647","549","Na+/solute symporter","113475700","4243651","-"
"Tery_2048","638107159","3194858","3195511","+","0.36","654","218","hypothetical protein","113475701","4245696","-"
"Tery_2049","638107160","3195835","3196662","+","0.34","828","276","peptidase S1 and S6, chymotrypsin/Hap","113475702","4245697","-"
"Tery_2050","638107161","3196755","3198029","+","0.43","1275","425","lipoprotein  putative","113475703","4245698","-"
"Tery_2051","638107162","3198350","3199639","+","0.33","1290","430","serine/threonine protein kinase","113475704","4245699","-"
"Tery_2052","638107163","3199942","3201834","-","0.41","1893","631","peptidase S9, prolyl oligopeptidase active site region","113475705","4245700","-"
"Tery_2053","638107164","3202236","3202901","+","0.35","666","222","Methyltransferase type 11","113475706","4245701","-"
"Tery_2054","638107165","3203402","3204736","+","0.36","1335","445","FAD linked oxidase-like( EC:1.1.2.4 )","113475707","4245702","-"
"Tery_2055","638107166","3204998","3206956","-","0.39","1959","653","Hemolysin-type calcium-binding region","113475708","4245703","-"
"Tery_2056","638107167","3207590","3209005","+","0.34","1416","472","protein of unknown function DUF224, cysteine-rich region","113475709","4245704","-"
"Tery_2057","638107168","3209480","3210550","+","0.35","1071","357","KWG Leptospira","113475710","4245705","-"
"Tery_2058","638107169","3210893","3211867","+","0.43","975","325","peptidase C14, caspase catalytic subunit p20","113475711","4245706","-"
"Tery_2059","638107170","3212172","3213308","+","0.31","1137","379","hypothetical protein","113475712","4245707","-"
"Tery_2060","638107171","3213305","3214297","+","0.42","993","331","ATPase-like protein","113475713","4245708","-"
"Tery_2061","638107172","3214273","3216798","+","0.45","2526","842","hypothetical protein","113475714","4245709","-"
"Tery_2062","638107173","3217926","3219299","+","0.4","1374","458","FAD-dependent pyridine nucleotide-disulphide oxidoreductase( EC:1.6.99.3 )","113475715","4245710","-"
"Tery_2063","638107174","3220215","3222668","-","0.41","2454","818","phenylalanyl-tRNA synthetase, beta subunit( EC:6.1.1.20 )","113475716","4245711","pheT"
"Tery_2064","638107175","3224428","3226050","+","0.35","1623","541","serine/threonine protein kinase( EC:2.7.11.1 )","113475717","4245712","-"
"Tery_2065","638107176","3226722","3228179","+","0.4","1458","486","glutamyl-tRNA(Gln) amidotransferase, A subunit( EC:6.3.5.6,EC:6.3.5.7 )","113475718","4245713","gatA"
"Tery_2066","638107177","3229985","3230479","+","0.33","495","165","conserved hypothetical protein","113475719","4245714","-"
"Tery_2067","638107178","3230557","3231741","-","0.36","1185","395","glycosyl transferase, group 1( EC:2.4.1.21 )","113475720","4245715","-"
"Tery_2068","638107179","3231810","3232271","-","0.44","462","154","hypothetical protein","113475721","4245716","-"
"Tery_2069","638107180","3232566","3233411","-","0.44","846","282","protein of unknown function DUF323","113475722","4245717","-"
"Tery_2071","638107182","3233969","3236647","-","0.37","2679","893","protein of unknown function DUF323","113475724","4245719","-"
"Tery_2072","638107183","3236804","3237550","-","0.36","747","249","protein of unknown function DUF81","113475725","4245720","-"
"Tery_2073","638107184","3237753","3238223","-","0.37","471","157","Cupin 2, conserved barrel","113475726","4245721","-"
"Tery_2074","638107185","3238692","3239666","-","0.34","975","325","ATPase associated with various cellular activities, AAA_5","113475727","4245722","-"
"Tery_2075","638107186","3239753","3241135","-","0.31","1383","461","hypothetical protein","113475728","4245723","-"
"Tery_2076","638107187","3241214","3243199","-","0.34","1986","662","protein of unknown function DUF900, hydrolase-like","113475729","4245724","-"
"Tery_2077","638107188","3243857","3245767","-","0.39","1911","637","protein of unknown function DUF323","113475730","4245725","-"
"Tery_2078","638107189","3246669","3247730","+","0.38","1062","354","putative translation initiation factor, aIF-2BI family( EC:5.3.1.23 )","113475731","4245726","mtnA"
"Tery_2079","638107190","3247778","3248368","-","0.42","591","197","metal dependent phosphohydrolase( EC:2.7.6.5 )","113475732","4245727","-"
"Tery_2080","638107191","3248488","3248709","+","0.37","222","74","thymidylate synthase complementing protein ThyX","113475733","4245728","-"
"Tery_2081","638107192","3248776","3249054","-","0.41","279","93","putative intron group II, inRNA","113475734","4245729","-"
"Tery_2082","638107193","3249986","3251362","+","0.31","1377","459","thymidylate synthase, flavin-dependent","113475735","4245730","-"
"Tery_2083","638107194","3251479","3251907","+","0.33","429","143","deoxyuridine 5'-triphosphate nucleotidohydrolase Dut( EC:3.6.1.23 )","113475736","4245731","-"
"Tery_2084","638107195","3251904","3252446","+","0.35","543","181","CMP/dCMP deaminase, zinc-binding( EC:3.5.4.12 )","113475737","4245732","-"
"Tery_2085","639331546","3253289","3253513","+","0.3","225","75","-","-","-","-"
"Tery_2086","638107196","3253560","3253838","+","0.32","279","93","conserved hypothetical protein, putative outer membrane protein","113475738","4245734","-"
"Tery_2087","638107197","3253980","3255833","-","0.26","1854","618","conserved hypothetical protein","113475739","4243921","-"
"Tery_2088","638107198","3257286","3257822","-","0.37","537","179","cob(I)alamin adenosyltransferase( EC:2.5.1.17 )","113475740","4243922","-"
"Tery_2089","638107199","3258626","3259342","+","0.39","717","239","ribonuclease PH( EC:2.7.7.56 )","113475741","4243923","rph"
"Tery_2090","638107200","3260681","3262474","+","0.4","1794","598","Peptidoglycan glycosyltransferase","113475742","4243924","-"
"Tery_2091","639331547","3262612","3263084","+","0.38","473","157.6666667","-","-","-","-"
"Tery_2092","638107201","3263487","3265649","-","0.38","2163","721","Lytic transglycosylase, catalytic( EC:3.2.1.- )","113475743","4243926","-"
"Tery_2093","638107202","3267818","3268873","+","0.38","1056","352","pentapeptide repeat","113475744","4243927","-"
"Tery_2096","638107205","3271270","3271686","+","0.4","417","139","S-adenosylmethionine decarboxylase related( EC:4.1.1.50 )","113475747","4243930","-"
"Tery_2097","638107206","3272360","3272947","-","0.34","588","196","conserved hypothetical protein","113475748","4243931","-"
"Tery_2098","638107207","3273185","3273610","+","0.32","426","142","GTP cyclohydrolase I( EC:1.7.1.13 )","113475749","4243932","-"
"Tery_2101","639331549","3275442","3275852","+","0.29","411","137","-","-","-","-"
"Tery_2102","638107209","3276390","3277850","-","0.34","1461","487","protein of unknown function DUF21","113475751","4243936","-"
"Tery_2103","639331550","3277852","3278037","-","0.37","186","62","-","-","-","-"
"Tery_2104","638107210","3278344","3278970","-","0.34","627","209","conserved hypothetical protein","113475752","4243938","-"
"Tery_R0018","640717046","3279184","3279256","+","0.6","73","-","tRNA-Met-CAT ","-","4243939","-"
"Tery_2105","638107213","3280402","3281733","+","0.39","1332","444","sodium:galactoside symporter family protein","113475753","4243941","-"
"Tery_2106","638107214","3281950","3285126","-","0.41","3177","1059","COG2931: RTX toxins and related Ca2+-binding proteins","113475754","4243942","-"
"Tery_2107","638107215","3285647","3287659","+","0.31","2013","671","serine/threonine protein kinase","113475755","4243943","-"
"Tery_2108","638107216","3287714","3291085","+","0.33","3372","1124","GAF sensor signal transduction histidine kinase","113475756","4243944","-"
"Tery_2109","638107217","3291907","3294882","-","0.39","2976","992","AMP-dependent synthetase and ligase","113475757","4243945","-"
"Tery_2110","638107218","3295678","3296571","-","0.31","894","298","sulfotransferase( EC:2.8.2.1 )","113475758","4243946","-"
"Tery_2111","638107219","3296981","3298258","-","0.41","1278","426","glycosyltransferase, MGT family","113475759","4243947","-"
"Tery_2112","638107220","3298305","3299189","-","0.36","885","295","Nucleotidyl transferase( EC:2.7.7.9 )","113475760","4243948","-"
"Tery_2113","639331551","3299947","3301936","-","0.36","1990","663.3333333","-","-","-","-"
"Tery_2114","638107221","3302074","3303507","+","0.33","1434","478","WD-repeat protein","113475761","4243950","-"
"Tery_2116","638107223","3305146","3306342","+","0.39","1197","399","FO synthase subunit 2","113475763","4243952","-"
"Tery_2117","638107224","3308007","3309710","+","0.35","1704","568","protein of unknown function DUF1400","113475764","4243953","-"
"Tery_2118","638107225","3310069","3310506","-","0.35","438","146","putative transposase","113475765","4243954","-"
"Tery_2119","638107226","3310984","3311595","-","0.41","612","204","conserved hypothetical protein","113475766","4243955","-"
"Tery_2120","638107227","3312612","3313478","-","0.4","867","289","peptide chain release factor 2","113475767","4243956","prfB"
"Tery_2121","638107228","3314390","3315124","-","0.41","735","245","putative membrane protein","113475768","4243957","-"
"Tery_2122","638107229","3317630","3318853","+","0.33","1224","408","protein of unknown function DUF790","113475769","4244094","-"
"Tery_2123","638107230","3319524","3320183","+","0.32","660","220","ErfK/YbiS/YcfS/YnhG","113475770","4244095","-"
"Tery_2124","638107231","3320294","3320944","+","0.4","651","217","ErfK/YbiS/YcfS/YnhG","113475771","4244096","-"
"Tery_2125","638107232","3321810","3322571","-","0.41","762","254","protein of unknown function DUF28","113475772","4244097","-"
"Tery_2126","639331552","3322621","3322836","-","0.39","216","72","-","-","-","-"
"Tery_2127","638107233","3323299","3323946","-","0.4","648","216","Phosphoglycerate mutase","113475773","4244099","-"
"Tery_2128","638107234","3324038","3324283","+","0.27","246","82","hypothetical protein","113475774","4244100","-"
"Tery_2129","638107235","3325010","3325507","-","0.35","498","166","pentapeptide repeat","113475775","4244101","-"
"Tery_2130","638107236","3326951","3327271","+","0.26","321","107","Cupin 2, conserved barrel","113475776","4244102","-"
"Tery_2131","638107237","3327935","3328837","+","0.32","903","301","hypothetical protein","113475777","4244103","-"
"Tery_2132","638107238","3328892","3330991","+","0.3","2100","700","hypothetical protein","113475778","4244104","-"
"Tery_2133","638107239","3331996","3332943","+","0.34","948","316","ATPase-like protein","113475779","4244105","-"
"Tery_2134","638107240","3333233","3333715","+","0.29","483","161","putative transposase","113475780","4244106","-"
"Tery_2135","638107241","3333958","3334386","+","0.32","429","143","hypothetical protein","113475781","4244107","-"
"Tery_2136","638107242","3334629","3340364","+","0.32","5736","1912","protein of unknown function DUF323","113475782","4244108","-"
"Tery_2137","638107243","3340972","3341622","-","0.31","651","217","conserved hypothetical protein","113475783","4244109","-"
"Tery_2138","638107244","3341786","3342769","-","0.42","984","328","aldo/keto reductase","113475784","4244110","-"
"Tery_2139","638107245","3343071","3343733","-","0.37","663","221","hypothetical protein","113475785","4244111","-"
"Tery_R0020","640717048","3343975","3344047","-","0.56","73","-","tRNA-Thr-TGT ","-","4244112","-"
"Tery_2140","638107247","3344106","3344369","-","0.38","264","88","cytochrome c, class I","113475786","4244113","-"
"Tery_2142","638107249","3345601","3346149","-","0.39","549","183","putative methyltransferase","113475788","4244115","-"
"Tery_2143","638107250","3346524","3347168","-","0.35","645","215","imidazole glycerol phosphate synthase, glutamine amidotransferase subunit( EC:2.4.2.- )","113475789","4244116","hisH"
"Tery_2144","638107251","3348503","3349204","+","0.34","702","234","Ribonuclease III( EC:3.1.26.3 )","113475790","4244117","-"
"Tery_2145","638107252","3349565","3351013","+","0.4","1449","483","RNA-directed DNA polymerase (Reverse transcriptase)","113475791","4244118","-"
"Tery_2146","638107253","3352625","3352966","+","0.4","342","114","hypothetical protein","113475792","4244119","-"
"Tery_2147","638107254","3353978","3355360","-","0.42","1383","461","glycogen/starch synthases, ADP-glucose type( EC:2.4.1.21 )","113475793","4244120","glgA"
"Tery_2148","638107255","3355872","3356336","-","0.32","465","155","conserved hypothetical protein","113475794","4244121","-"
"Tery_2149","638107256","3356865","3357215","-","0.33","351","117","conserved hypothetical protein","113475795","4244122","-"
"Tery_2150","638107257","3357736","3358503","+","0.33","768","256","Methyltransferase type 11","113475796","4244123","-"
"Tery_2151","638107258","3359060","3361132","-","0.32","2073","691","unnamed protein product; Highly similar to tr|Q8YMM2|Q8YMM2 [Anabaena_sp._(strain_PCC_7120)._] Alr4911 protein","113475797","4244124","-"
"Tery_2152","638107259","3361129","3361419","-","0.29","291","97","hypothetical protein","113475798","4244125","-"
"Tery_2153","638107260","3363039","3363776","+","0.38","738","246","hypothetical protein","113475799","4244126","-"
"Tery_2154","638107261","3364461","3364958","+","0.36","498","166","conserved hypothetical protein","113475800","4244127","-"
"Tery_2155","638107262","3364965","3365945","+","0.39","981","327","aldo/keto reductase( EC:1.1.1.274 )","113475801","4244128","-"
"Tery_2156","638107263","3366643","3367347","+","0.33","705","235","Methyltransferase type 12","113475802","4244129","-"
"Tery_2157","638107264","3367934","3368431","-","0.33","498","166","protein of unknown function UPF0079","113475803","4244130","-"
"Tery_2158","638107265","3368523","3370517","-","0.39","1995","665","protein of unknown function DUF323","113475804","4244131","-"
"Tery_2159","638107266","3370639","3371970","-","0.3","1332","444","hypothetical protein","113475805","4242611","-"
"Tery_2160","638107267","3372238","3374190","-","0.34","1953","651","Mg-chelatase subunit ChlI-like","113475806","4242612","-"
"Tery_2161","639331553","3374550","3375481","-","0.39","932","310.6666667","-","-","-","-"
"Tery_2162","638107268","3375683","3376036","-","0.35","354","118","hypothetical protein","113475807","4242614","-"
"Tery_2163","638107269","3376185","3377561","-","0.4","1377","459","conserved hypothetical protein","113475808","4242615","-"
"Tery_2164","638107270","3377752","3378537","+","0.39","786","262","ABC transporter related","113475809","4242616","-"
"Tery_2165","638107271","3378982","3380412","+","0.33","1431","477","methyl-accepting chemotaxis sensory transducer","113475810","4242617","-"
"Tery_2166","638107272","3381769","3382164","+","0.44","396","132","COG0457: FOG: TPR repeat","113475811","4242618","-"
"Tery_2167","638107273","3382538","3385582","-","0.34","3045","1015","Tetratricopeptide TPR_2","113475812","4242619","-"
"Tery_2168","638107274","3385930","3391242","+","0.37","5313","1771","glycosyl transferase, group 1","113475813","4242620","-"
"Tery_2169","638107275","3391278","3392735","+","0.36","1458","486","methyltransferase FkbM family","113475814","4242621","-"
"Tery_2170","639331554","3393099","3393611","-","0.39","513","171","-","-","-","-"
"Tery_2171","638107276","3393612","3393905","-","0.41","294","98","hypothetical protein","113475815","4242623","-"
"Tery_2172","638107277","3394949","3396190","-","0.41","1242","414","monooxygenase, FAD-binding( EC:1.14.13.1 )","113475816","4242624","-"
"Tery_2173","638107278","3396279","3397265","-","0.43","987","329","Methyltransferase type 11","113475817","4242625","-"
"Tery_2174","638107279","3397309","3398085","-","0.41","777","259","conserved hypothetical protein","113475818","4242626","-"
"Tery_2176","639331555","3399179","3399582","-","0.35","404","134.6666667","-","-","-","-"
"Tery_2177","638107281","3400076","3401407","-","0.4","1332","444","dihydroorotase, multifunctional complex type( EC:3.5.2.3 )","113475820","4242629","-"
"Tery_2178","638107282","3401988","3402638","+","0.34","651","217","signal peptidase I( EC:3.4.21.89 )","113475821","4242630","-"
"Tery_2179","638107283","3402944","3404242","-","0.39","1299","433","dihydroorotase, multifunctional complex type( EC:3.5.2.3 )","113475822","4242631","-"
"Tery_2180","638107284","3404593","3404985","-","0.37","393","131","hypothetical protein","113475823","4242632","-"
"Tery_2181","638107285","3405254","3406612","-","0.4","1359","453","Phosphoglycerate mutase( EC:5.4.2.1 )","113475824","4242633","-"
"Tery_2182","638107286","3407336","3408871","+","0.32","1536","512","Abortive infection protein","113475825","4242634","-"
"Tery_2183","638107287","3409177","3410082","+","0.32","906","302","protein of unknown function DUF6, transmembrane","113475826","4242635","-"
"Tery_2184","638107288","3411283","3411393","-","0.42","111","37","AAA ATPase","113475827","4242636","-"
"Tery_2185","638107289","3411560","3411961","-","0.35","402","134","unnamed protein product; Highly similar to tr|Q8YRA6|Q8YRA6 [Anabaena_sp._(strain_PCC_7120)._] All3542 protein","113475828","4242637","-"
"Tery_2186","639331556","3412795","3413103","+","0.26","309","103","-","-","-","-"
"Tery_2187","638107290","3414061","3414966","+","0.37","906","302","shikimate 5-dehydrogenase( EC:1.1.1.25 )","113475829","4242639","aroE"
"Tery_2188","638107291","3416005","3416469","+","0.37","465","155","conserved hypothetical protein","113475830","4242640","-"
"Tery_2189","638107292","3416553","3416843","-","0.34","291","97","protein of unknown function YGGT","113475831","4242641","-"
"Tery_2190","638107293","3417555","3417857","-","0.34","303","101","conserved hypothetical protein","113475832","4242642","-"
"Tery_2191","638107294","3417970","3418620","-","0.43","651","217","uracil phosphoribosyltransferase( EC:2.4.2.9 )","113475833","4242643","upp"
"Tery_2192","638107295","3419070","3420668","+","0.34","1599","533","FAD dependent oxidoreductase( EC:5.- )","113475834","4242644","-"
"Tery_2195","638107297","3422701","3422922","-","0.39","222","74","conserved hypothetical protein","113475836","4242647","-"
"Tery_2196","638107298","3422919","3424724","-","0.41","1806","602","peptidase S8 and S53, subtilisin, kexin, sedolisin","113475837","4242648","-"
"Tery_2197","638107299","3425074","3425418","+","0.28","345","115","hypothetical protein","113475838","4242649","-"
"Tery_2198","638107300","3427838","3428782","-","0.39","945","315","ATP synthase F1, gamma subunit( EC:3.6.3.14 )","113475839","4243231","-"
"Tery_2199","638107301","3430009","3431526","-","0.42","1518","506","ATP synthase F1, alpha subunit( EC:3.6.3.14 )","113475840","4243232","-"
"Tery_2200","638107302","3431712","3432260","-","0.39","549","183","ATP synthase F1, delta subunit( EC:3.6.3.14 )","113475841","4243233","-"
"Tery_2201","638107303","3432257","3432790","-","0.39","534","178","ATP synthase F0, B subunit( EC:3.6.3.14 )","113475842","4243234","-"
"Tery_2202","638107304","3432882","3433367","-","0.38","486","162","H+-transporting two-sector ATPase, B/B' subunit( EC:3.6.3.14 )","113475843","4243235","-"
"Tery_2203","638107305","3433474","3433719","-","0.44","246","82","ATP synthase F0, C subunit( EC:3.6.3.14 )","113475844","4243236","-"
"Tery_2204","638107306","3433933","3434682","-","0.4","750","250","ATP synthase F0, A subunit( EC:3.6.3.14 )","113475845","4243237","-"
"Tery_2205","638107307","3434742","3435182","-","0.33","441","147","ptuative ATP synthase protein I","113475846","4243238","-"
"Tery_2206","638107308","3436077","3437288","-","0.4","1212","404","Methyltransferase type 12","113475847","4243239","-"
"Tery_2207","638107309","3437683","3438132","+","0.29","450","150","hypothetical protein","113475848","4243240","-"
"Tery_2208","638107310","3438446","3438727","+","0.32","282","94","hypothetical protein","113475849","4243241","-"
"Tery_2209","638107311","3440604","3442712","+","0.39","2109","703","Phycobilisome linker polypeptide","113475850","4243242","-"
"Tery_2210","638107312","3442819","3445560","+","0.39","2742","914","Phycobilisome linker polypeptide","113475851","4243243","-"
"Tery_2211","638107313","3446592","3447344","+","0.37","753","251","conserved hypothetical protein","113475852","4243244","-"
"Tery_2212","638107314","3447381","3447902","+","0.37","522","174","hypothetical protein","113475853","4243245","-"
"Tery_2213","638107315","3447874","3449256","+","0.32","1383","461","von Willebrand factor, type A","113475854","4243246","-"
"Tery_2214","638107316","3449872","3451476","+","0.36","1605","535","AAA ATPase, central region","113475855","4243247","-"
"Tery_2215","638107317","3451853","3452887","+","0.37","1035","345","oxidoreductase-like( EC:1.1.1.18 )","113475856","4243248","-"
"Tery_2216","638107318","3453420","3455543","-","0.32","2124","708","periplasmic sensor signal transduction histidine kinase","113475857","4243249","-"
"Tery_2217","638107319","3456683","3456907","+","0.38","225","75","conserved hypothetical protein","113475858","4243250","-"
"Tery_2218","638107320","3457034","3458482","+","0.41","1449","483","protoporphyrinogen oxidase( EC:1.3.3.4 )","113475859","4243251","-"
"Tery_2219","638107321","3459206","3461368","-","0.34","2163","721","COG0457: FOG: TPR repeat","113475860","4243252","-"
"Tery_2220","638107322","3462170","3462343","-","0.34","174","58","hypothetical protein","113475861","4243253","-"
"Tery_2221","638107323","3462429","3463268","-","0.4","840","280","thiazole biosynthesis","113475862","4243254","thiG"
"Tery_R0021","640717049","3463816","3464174","-","0.48","359","-","RNA component of RNaseP ","-","4243255","rnpB"
"Tery_2222","638107324","3464417","3465613","+","0.33","1197","399","conserved hypothetical protein","113475863","4243256","-"
"Tery_2223","638107325","3465879","3466922","-","0.31","1044","348","Leucine-rich repeat, typical subtype","113475864","4243257","-"
"Tery_2224","638107326","3468868","3469581","-","0.37","714","238","peptidase M15D, vanX D-ala-D-ala dipeptidase( EC:3.4.13.- )","113475865","4243258","-"
"Tery_2225","638107327","3470115","3470741","+","0.36","627","209","hypothetical protein","113475866","4243259","-"
"Tery_2226","638107328","3471091","3472485","-","0.38","1395","465","WD-40 repeat","113475867","4243260","-"
"Tery_2227","638107329","3472646","3473185","-","0.31","540","180","Ferric reductase-like transmembrane component-like","113475868","4243261","-"
"Tery_2228","638107330","3473878","3477468","-","0.38","3591","1197","protein of unknown function DUF323","113475869","4243262","-"
"Tery_2229","638107331","3477613","3478758","-","0.38","1146","382","ATPase associated with various cellular activities, AAA_5","113475870","4243263","-"
"Tery_2230","638107332","3478796","3480319","-","0.26","1524","508","hypothetical protein","113475871","4243264","-"
"Tery_2231","638107333","3480355","3480612","-","0.27","258","86","hypothetical protein","113475872","4243265","-"
"Tery_2232","638107334","3480642","3480899","-","0.26","258","86","hypothetical protein","113475873","4243266","-"
"Tery_2233","638107335","3480929","3481186","-","0.27","258","86","hypothetical protein","113475874","4243267","-"
"Tery_2234","638107336","3481216","3481473","-","0.27","258","86","hypothetical protein","113475875","4243268","-"
"Tery_2235","638107337","3481503","3481760","-","0.26","258","86","hypothetical protein","113475876","4243328","-"
"Tery_2236","638107338","3481790","3483193","-","0.31","1404","468","hypothetical protein","113475877","4243329","-"
"Tery_2237","638107339","3483225","3484160","-","0.33","936","312","hypothetical protein","113475878","4243330","-"
"Tery_2238","638107340","3484318","3484539","-","0.35","222","74","conserved hypothetical protein","113475879","4243331","-"
"Tery_2239","638107341","3485910","3486572","-","0.41","663","221","PBS lyase HEAT-like repeat","113475880","4243332","-"
"Tery_2240","638107342","3486880","3487341","-","0.39","462","154","putative signal transduction protein with CBS domains","113475881","4243333","-"
"Tery_2241","638107343","3487533","3487862","+","0.4","330","110","conserved hypothetical protein","113475882","4243334","-"
"Tery_2242","638107344","3487893","3488798","-","0.39","906","302","alpha/beta hydrolase fold","113475883","4243335","-"
"Tery_2243","638107345","3489228","3489707","+","0.38","480","160","putative anti-sigma regulatory factor, serine/threonine protein kinase","113475884","4243336","-"
"Tery_2244","638107346","3489738","3490052","-","0.37","315","105","hypothetical protein","113475885","4243337","-"
